customerDomain,Product,skuName,Creation date (PST),status,planName,Renewal date (PST),licensedNumberOfSeats,maximumNumberOfSeats,Customer uid,customerId,subscriptionId
makemydestination.com,Google Workspace,G Suite Basic,"October 16, 2019",Suspended,Flexible Plan,-,2,2,SkAS0coQ4zQIii,C04b58y8i,1070916810
makhahydraulics.com,Google Workspace,Google Workspace Business Starter,"December 16, 2021",Active,Flexible Plan,-,1,300,SKPOOimz4YtVDd,C00jr6dxb,3397770577
makimagingsolutions.com,Google Workspace,Google Workspace Business Starter,"June 22, 2021",Active,Flexible Plan,-,7,300,SpN0y0JTUO6l1a,C038xiw7t,2902041791
malabarchamber.org,-,-,-,-,-,-,0,0,S34BJd53jZQ1Un,C02rgp2e2,-
malembusiness.com,Google Workspace,Google Workspace Business Starter,"March 29, 2021",Active,Flexible Plan,-,4,4,SyuLVUHm0R5ut9,C01xpt72x,2650607002
mapshore.com,Google Workspace,Google Workspace Business Starter,"March 20, 2022",Active,Flexible Plan,-,36,36,SSS5WBjfUkeXEM,C01zwmvwi,3667063944
marinetechdubai.com,-,-,-,-,-,-,0,0,SVQZ3bHRLv3hR4,-,-
marvelacademy.net,Google Workspace,G Suite Basic,"August 29, 2020",Suspended,Flexible Plan,-,5,20,ShqSZj9O5QmB1t,C01jnbc1n,1919836415
materialsupply-saudi.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,2,2,SvfvAlmq4ESGuS,C00o00zjg,3667876178
mavensmarks.com,Google Workspace,Google Workspace Business Starter,"June 23, 2021",Suspended,Flexible Plan,-,3,300,Sa3N6oA3WaUwwy,C00tyreiy,2902580420
mc-realestates.com,Google Workspace,Google Workspace Business Starter,"February 2, 2022",Active,Flexible Plan,-,5,300,Sv1qBr48mxTpXr,C03s70272,3529957483
mctlawcollege.org,Google Workspace,Google Workspace Enterprise Plus,"September 13, 2020",Suspended,Flexible Plan,-,1,1,SCi54QyDpX7Xif,C04b2s09z,1967964249
meattodoor.ae,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,9,9,SdJQaytvVzIzeW,C0377fey9,3667692264
mediaboxcalicut.com,Google Workspace,G Suite Basic,"March 1, 2019",Suspended,Flexible Plan,-,1,3,SzCUVhVXMPkQAY,C01gelean,634676486
meditourz.com,-,-,-,-,-,-,0,0,SIRGQgtdHSzmF7,C03p0nntf,-
medomed.co.in,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,1,1,SMT8k0hOKeMhWY,C00kl1b13,3666754382
medorahotels.in,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,10,12,SEJ0xc8OH7J8OW,C01n1fmz1,3664572943
metalkraftllc.com,-,-,-,-,-,-,0,0,SGkpNJytlFg7i5,C01fincxv,-
metleaf.in,Google Workspace,G Suite Basic,"October 11, 2019",Suspended,Trial Plan,-,1,1,SVCtmVAACKXWtJ,C00uu5whv,1058671310
metrobusinessgroup.com,Google Workspace,G Suite Basic,"February 12, 2019",Suspended,Flexible Plan,-,1,50000,Sbkuh2GMHzoWo2,C02c3kx22,600632503
mfreshsg.com,Google Workspace,Google Workspace Business Starter,"March 18, 2022",Active,Flexible Plan,-,4,4,SsXcSyD2NDV6S8,C017t9ggv,3662626401
millenniumbms.com,Google Workspace,Google Workspace Business Starter,"February 7, 2021",Suspended,Flexible Plan,-,2,2,SlyN9p735yXCYA,C03233h84,2461206460
minarfashion.com,Google Workspace,Google Workspace Business Starter,"May 24, 2021",Active,Flexible Plan,-,2,2,SLvG8VbTXqilFM,C02wnx3vq,2813687275
mindtrust.in,Google Workspace,Google Workspace Business Standard,"December 2, 2021",Active,Flexible Plan,-,1,300,SNBjnYHwgqrQzf,C01fu7psp,3357498711
missionbettertomorrow.org,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,3,3,SLgzpfRJsR13z9,C03hzoqeh,3667786135
mmstechsolutions.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,2,2,SdD2joy8qMxu4p,C010zghav,3666334501
